Wall time,Step,Value
1692659146.316115,10,2.566999912261963
1692659215.2615185,20,2.5297000408172607
1692659283.620226,30,2.4800000190734863
1692659352.060458,40,2.362600088119507
1692659420.80745,50,2.266700029373169
1692659488.4075212,60,2.146699905395508
1692659557.9613428,70,2.0048000812530518
1692659627.1955347,80,1.8824000358581543
1692659694.8035047,90,1.7568000555038452
1692659761.0148735,100,1.6138999462127686
1692659831.2517834,110,1.5454000234603882
1692659900.294364,120,1.4575999975204468
1692659969.7061956,130,1.378100037574768
1692660036.4241753,140,1.3219000101089478
1692660106.2420013,150,1.3497999906539917
