Wall time,Step,Value
1692646769.192536,10,2.5244998931884766
1692646812.2654402,20,2.583899974822998
1692646858.6867957,30,2.4600000381469727
1692646904.0619664,40,2.40310001373291
1692646948.1275737,50,2.2955000400543213
1692646996.063212,60,2.104599952697754
1692647041.189346,70,1.9816999435424805
1692647087.793113,80,1.7496000528335571
1692647133.4533875,90,1.4835000038146973
1692647177.6269104,100,1.1518000364303589
1692647227.6703038,110,1.0841000080108643
1692647273.2311409,120,0.8083000183105469
1692647318.5837288,130,0.7125999927520752
1692647365.4470391,140,0.7627999782562256
1692647409.9613013,150,0.6496000289916992
1692647456.5522888,160,0.7386999726295471
1692647501.8090565,170,0.6560999751091003
1692647547.101131,180,0.6226000189781189
1692647593.5854514,190,0.6988000273704529
1692647637.9737737,200,0.5778999924659729
1692647684.8041573,210,0.6747000217437744
1692647730.7210195,220,0.6787999868392944
1692647774.610357,230,0.5382999777793884
1692647822.180431,240,0.734000027179718
1692647867.4249737,250,0.6547999978065491
1692647913.90383,260,0.6413000226020813
1692647960.133555,270,0.713699996471405
1692648004.47333,280,0.6279000043869019
1692648052.1693957,290,0.7390999794006348
1692648097.2456317,300,0.5871999859809875
