Wall time,Step,Value
1692664846.9237957,10,2.576200008392334
1692664916.8030236,20,2.5815999507904053
1692664986.2754817,30,2.597100019454956
1692665055.7237673,40,2.5676000118255615
1692665125.2073398,50,2.5848000049591064
1692665193.5910027,60,2.5804998874664307
1692665264.160682,70,2.553800106048584
1692665334.4150534,80,2.5490000247955322
1692665402.8887582,90,2.5696001052856445
1692665469.945893,100,2.561500072479248
1692665541.015095,110,2.521899938583374
1692665610.7045758,120,2.5508999824523926
1692665680.7920794,130,2.533099889755249
1692665748.1886687,140,2.5283000469207764
1692665818.9055138,150,2.5160999298095703
1692665888.4295971,160,2.5155999660491943
1692665957.69881,170,2.5209999084472656
1692666025.3333914,180,2.5267999172210693
1692666096.5930345,190,2.523699998855591
1692666167.1872678,200,2.4993999004364014
1692666234.8290758,210,2.517199993133545
1692666302.1336517,220,2.518399953842163
1692666373.427214,230,2.5072999000549316
1692666444.3871264,240,2.511899948120117
1692666514.148088,250,2.5046000480651855
1692666579.395334,260,2.5385000705718994
