Wall time,Step,Value
1692667000.5537107,10,2.4883999824523926
1692667069.6908042,20,1.6927000284194946
1692667138.6586635,30,0.7645999789237976
1692667207.4306147,40,0.6362000107765198
1692667276.348386,50,0.5756000280380249
1692667344.0386076,60,0.5810999870300293
1692667413.9013689,70,0.5652999877929688
1692667483.3620327,80,0.5694000124931335
1692667551.0796385,90,0.5367000102996826
1692667617.3933675,100,0.49559998512268066
1692667687.7427845,110,0.5893999934196472
1692667756.8918014,120,0.5309000015258789
1692667826.3645415,130,0.5085999965667725
1692667893.116596,140,0.4684000015258789
1692667963.3252988,150,0.5145999789237976
1692668032.2523324,160,0.5113000273704529
1692668100.8771477,170,0.4715999960899353
1692668167.6813688,180,0.43849998712539673
1692668238.3785849,190,0.5163000226020813
1692668308.2447057,200,0.486299991607666
1692668375.2839422,210,0.4503999948501587
1692668441.824378,220,0.42660000920295715
1692668512.5336854,230,0.4932999908924103
1692668582.75588,240,0.47690001130104065
1692668651.8755894,250,0.45559999346733093
1692668716.3669736,260,0.40959998965263367
