Wall time,Step,Value
1692737429.8144917,10,2.5701000690460205
1692737496.6343021,20,2.536900043487549
1692737563.3869603,30,2.4874000549316406
1692737630.0355487,40,2.366499900817871
1692737696.9825828,50,2.263200044631958
1692737762.6730309,60,2.1308000087738037
1692737830.3883948,70,1.9632999897003174
1692737897.824708,80,1.7877999544143677
1692737963.6052184,90,1.5612000226974487
1692738027.9807038,100,1.2690999507904053
1692738096.223987,110,1.1095000505447388
1692738163.265489,120,0.9031000137329102
1692738230.797593,130,0.7702999711036682
1692738295.3374846,140,0.6841999888420105
1692738363.1600592,150,0.7282999753952026
1692738429.9417639,160,0.7121999859809875
1692738496.3362672,170,0.6707000136375427
1692738561.064476,180,0.6406000256538391
1692738629.4103363,190,0.7278000116348267
1692738697.0253239,200,0.6944000124931335
1692738761.9752178,210,0.6468999981880188
1692738826.475756,220,0.6270999908447266
1692738894.9112413,230,0.710099995136261
1692738962.881212,240,0.7002000212669373
1692739029.9285924,250,0.6699000000953674
1692739092.3365264,260,0.6087999939918518
