Wall time,Step,Value
1692739651.6192985,10,2.5701000690460205
1692739718.133517,20,2.5374999046325684
1692739784.6827362,30,2.490000009536743
1692739851.074877,40,2.3754000663757324
1692739917.630374,50,2.282399892807007
1692739982.9793096,60,2.1605000495910645
1692740050.5576813,70,2.004699945449829
1692740117.6878824,80,1.8467999696731567
1692740183.1835234,90,1.6448999643325806
1692740247.358205,100,1.3711999654769897
1692740315.3933184,110,1.197700023651123
1692740382.233453,120,0.9787999987602234
1692740449.2013812,130,0.8119999766349792
1692740513.5387268,140,0.7064999938011169
1692740581.4156082,150,0.7423999905586243
1692740647.8822894,160,0.7232000231742859
1692740713.9642513,170,0.6796000003814697
1692740778.4120963,180,0.6489999890327454
1692740846.7377868,190,0.7354000210762024
1692740914.2526147,200,0.70169997215271
1692740978.9400856,210,0.6538000106811523
1692741043.0970926,220,0.6342999935150146
1692741111.3320363,230,0.7170000076293945
1692741178.9760783,240,0.7067999839782715
1692741245.8252375,250,0.6766999959945679
1692741307.9770296,260,0.6157000064849854
