Wall time,Step,Value
1692731593.8309371,10,2.5734000205993652
1692731662.995606,20,2.5611000061035156
1692731731.7281513,30,2.545300006866455
1692731800.3625774,40,2.4691998958587646
1692731869.2661865,50,2.418800115585327
1692731936.9152806,60,2.335900068283081
1692732006.7026036,70,2.22160005569458
1692732076.2030814,80,2.1180999279022217
1692732143.9882007,90,2.011199951171875
1692732210.3974352,100,1.8560999631881714
1692732280.8336425,110,1.7217999696731567
1692732349.9563255,120,1.5546000003814697
1692732419.4168053,130,1.3485000133514404
1692732486.1233633,140,1.15910005569458
1692732556.2563875,150,1.0773999691009521
1692732625.254512,160,0.970300018787384
1692732693.8516538,170,0.8694999814033508
1692732760.7070897,180,0.8026999831199646
1692732831.13408,190,0.8593000173568726
1692732900.9327652,200,0.8066999912261963
1692732967.9773145,210,0.7516999840736389
1692733034.4491763,220,0.7257999777793884
1692733104.9398298,230,0.8050000071525574
1692733175.0635536,240,0.7914999723434448
1692733244.173765,250,0.7621999979019165
1692733308.5834026,260,0.7042999863624573
