Wall time,Step,Value
1692650839.1210692,10,2.5666000843048096
1692650908.157138,20,2.507200002670288
1692650976.7901652,30,2.40310001373291
1692651045.330097,40,2.2021000385284424
1692651114.1312425,50,1.986299991607666
1692651181.66962,60,1.698199987411499
1692651251.4058301,70,1.3142999410629272
1692651320.8461294,80,0.9745000004768372
1692651388.438962,90,0.7411999702453613
1692651454.6743448,100,0.6577000021934509
1692651524.6518705,110,0.7397000193595886
1692651593.5155947,120,0.6879000067710876
1692651662.6138442,130,0.6509000062942505
1692651729.0622108,140,0.6039000153541565
1692651798.80629,150,0.6643000245094299
1692651867.350189,160,0.659600019454956
1692651935.591637,170,0.6245999932289124
1692652002.085042,180,0.5960999727249146
1692652072.4075646,190,0.6850000023841858
1692652141.9728866,200,0.6535999774932861
1692652208.6589112,210,0.607200026512146
1692652274.9045064,220,0.5893999934196472
1692652345.1857545,230,0.6715999841690063
1692652415.1672764,240,0.6625000238418579
1692652484.0407283,250,0.6306999921798706
1692652548.2485251,260,0.5688999891281128
